Day,Predicted_Cost
4,5.515090396610387
5,4.490812860100367
6,3.466535323590346
7,2.442257787080326
8,1.4179802505703059
9,0.3937027140602858
10,-0.6305748224497343
11,-1.6548523589597544
12,-2.679129895469776
13,-3.7034074319797963
14,-4.727684968489816
15,-5.751962504999836
16,-6.7762400415098565
17,-7.8005175780198766
18,-8.824795114529897
19,-9.849072651039917
20,-10.873350187549937
21,-11.897627724059957
22,-12.921905260569977
23,-13.946182797079997
24,-14.97046033359002
25,-15.99473787010004
26,-17.01901540661006
27,-18.04329294312008
28,-19.0675704796301
29,-20.09184801614012
30,-21.11612555265014
31,-22.14040308916016
32,-23.16468062567018
33,-24.1889581621802
